id,codi_estacio,codi_variable,data_lectura,data_extrem,valor_lectura,codi_estat,codi_base
V4420101150600,V4,42,2015-01-01T06:00:00.000,2015-01-01T06:27:00.000,-4.2,V,SH
V4720101150600,V4,72,2015-01-01T06:00:00.000,2015-01-01T06:00:00.000,0.0,V,SH
V4330101150600,V4,33,2015-01-01T06:00:00.000,,85.0,V,SH
V4440101150600,V4,44,2015-01-01T06:00:00.000,2015-01-01T06:00:00.000,84.0,V,SH
V4030101150600,V4,3,2015-01-01T06:00:00.000,2015-01-01T06:28:00.000,86.0,V,SH
V4350101150600,V4,35,2015-01-01T06:00:00.000,,0.0,V,SH
V4440101150630,V4,44,2015-01-01T06:30:00.000,2015-01-01T06:31:00.000,86.0,V,SH
V4030101150630,V4,3,2015-01-01T06:30:00.000,2015-01-01T06:57:00.000,88.0,V,SH
V4350101150630,V4,35,2015-01-01T06:30:00.000,,0.0,V,SH
V4330101150630,V4,33,2015-01-01T06:30:00.000,,87.0,V,SH
V4320101150630,V4,32,2015-01-01T06:30:00.000,,-4.2,V,SH
V4400101150630,V4,40,2015-01-01T06:30:00.000,2015-01-01T06:59:00.000,-3.8,V,SH
V4420101150630,V4,42,2015-01-01T06:30:00.000,2015-01-01T06:33:00.000,-4.3,V,SH
V4720101150630,V4,72,2015-01-01T06:30:00.000,2015-01-01T06:30:00.000,0.0,V,SH
V4030101150700,V4,3,2015-01-01T07:00:00.000,2015-01-01T07:00:00.000,88.0,V,SH
V4350101150700,V4,35,2015-01-01T07:00:00.000,,0.0,V,SH
V4720101150700,V4,72,2015-01-01T07:00:00.000,2015-01-01T07:00:00.000,0.0,V,SH
V4440101150700,V4,44,2015-01-01T07:00:00.000,2015-01-01T07:16:00.000,86.0,V,SH
V4400101150700,V4,40,2015-01-01T07:00:00.000,2015-01-01T07:01:00.000,-3.7,V,SH
V4420101150700,V4,42,2015-01-01T07:00:00.000,2015-01-01T07:21:00.000,-4.1,V,SH
V4330101150700,V4,33,2015-01-01T07:00:00.000,,87.0,V,SH
V4320101150700,V4,32,2015-01-01T07:00:00.000,,-3.9,V,SH
V4350101150730,V4,35,2015-01-01T07:30:00.000,,0.0,V,SH
V4320101150730,V4,32,2015-01-01T07:30:00.000,,-4.0,V,SH
V4720101150730,V4,72,2015-01-01T07:30:00.000,2015-01-01T07:30:00.000,0.0,V,SH
V4030101150730,V4,3,2015-01-01T07:30:00.000,2015-01-01T07:43:00.000,87.0,V,SH
V4420101150730,V4,42,2015-01-01T07:30:00.000,2015-01-01T07:59:00.000,-4.3,V,SH
V4330101150730,V4,33,2015-01-01T07:30:00.000,,87.0,V,SH
V4440101150730,V4,44,2015-01-01T07:30:00.000,2015-01-01T07:56:00.000,87.0,V,SH
V4400101150730,V4,40,2015-01-01T07:30:00.000,2015-01-01T07:46:00.000,-3.9,V,SH
V4030101150800,V4,3,2015-01-01T08:00:00.000,2015-01-01T08:10:00.000,88.0,V,SH
V4420101150800,V4,42,2015-01-01T08:00:00.000,2015-01-01T08:00:00.000,-4.3,V,SH
V4330101150800,V4,33,2015-01-01T08:00:00.000,,88.0,V,SH
V4400101150800,V4,40,2015-01-01T08:00:00.000,2015-01-01T08:28:00.000,-3.7,V,SH
V4350101150800,V4,35,2015-01-01T08:00:00.000,,0.0,V,SH
V4720101150800,V4,72,2015-01-01T08:00:00.000,2015-01-01T08:00:00.000,0.0,V,SH
V4320101150800,V4,32,2015-01-01T08:00:00.000,,-4.0,V,SH
V4440101150800,V4,44,2015-01-01T08:00:00.000,2015-01-01T08:00:00.000,87.0,V,SH
V4320101150830,V4,32,2015-01-01T08:30:00.000,,-2.4,V,SH
V4400101150830,V4,40,2015-01-01T08:30:00.000,2015-01-01T08:59:00.000,-1.1,V,SH
V4330101150830,V4,33,2015-01-01T08:30:00.000,,87.0,V,SH
V4420101150830,V4,42,2015-01-01T08:30:00.000,2015-01-01T08:30:00.000,-3.7,V,SH
V4030101150830,V4,3,2015-01-01T08:30:00.000,2015-01-01T08:43:00.000,89.0,V,SH
V4350101150830,V4,35,2015-01-01T08:30:00.000,,0.0,V,SH
V4720101150830,V4,72,2015-01-01T08:30:00.000,2015-01-01T08:30:00.000,0.0,V,SH
V4440101150830,V4,44,2015-01-01T08:30:00.000,2015-01-01T08:57:00.000,85.0,V,SH
V4720101150900,V4,72,2015-01-01T09:00:00.000,2015-01-01T09:00:00.000,0.0,V,SH
V4400101150900,V4,40,2015-01-01T09:00:00.000,2015-01-01T09:29:00.000,-0.2,V,SH
V4420101150900,V4,42,2015-01-01T09:00:00.000,2015-01-01T09:00:00.000,-1.0,V,SH
V4350101150900,V4,35,2015-01-01T09:00:00.000,,0.0,V,SH
V4440101150900,V4,44,2015-01-01T09:00:00.000,2015-01-01T09:29:00.000,79.0,V,SH
V4320101150900,V4,32,2015-01-01T09:00:00.000,,-0.7,V,SH
V4030101150900,V4,3,2015-01-01T09:00:00.000,2015-01-01T09:00:00.000,85.0,V,SH
V4330101150900,V4,33,2015-01-01T09:00:00.000,,81.0,V,SH
V4320101150930,V4,32,2015-01-01T09:30:00.000,,0.5,V,SH
V4400101150930,V4,40,2015-01-01T09:30:00.000,2015-01-01T09:59:00.000,1.0,V,SH
V4420101150930,V4,42,2015-01-01T09:30:00.000,2015-01-01T09:30:00.000,-0.2,V,SH
V4720101150930,V4,72,2015-01-01T09:30:00.000,2015-01-01T09:30:00.000,0.0,V,SH
V4440101150930,V4,44,2015-01-01T09:30:00.000,2015-01-01T09:56:00.000,69.0,V,SH
V4030101150930,V4,3,2015-01-01T09:30:00.000,2015-01-01T09:30:00.000,78.0,V,SH
V4350101150930,V4,35,2015-01-01T09:30:00.000,,0.0,V,SH
V4330101150930,V4,33,2015-01-01T09:30:00.000,,74.0,V,SH
V4350101151000,V4,35,2015-01-01T10:00:00.000,,0.0,V,SH
V4720101151000,V4,72,2015-01-01T10:00:00.000,2015-01-01T10:00:00.000,0.0,V,SH
V4320101151000,V4,32,2015-01-01T10:00:00.000,,2.5,V,SH
V4030101151000,V4,3,2015-01-01T10:00:00.000,2015-01-01T10:04:00.000,70.0,V,SH
V4420101151000,V4,42,2015-01-01T10:00:00.000,2015-01-01T10:00:00.000,1.1,V,SH
V4330101151000,V4,33,2015-01-01T10:00:00.000,,67.0,V,SH
V4440101151000,V4,44,2015-01-01T10:00:00.000,2015-01-01T10:29:00.000,62.0,V,SH
V4400101151000,V4,40,2015-01-01T10:00:00.000,2015-01-01T10:29:00.000,3.6,V,SH
V4420101151030,V4,42,2015-01-01T10:30:00.000,2015-01-01T10:30:00.000,3.7,V,SH
V4330101151030,V4,33,2015-01-01T10:30:00.000,,59.0,V,SH
V4440101151030,V4,44,2015-01-01T10:30:00.000,2015-01-01T10:55:00.000,57.0,V,SH
V4720101151030,V4,72,2015-01-01T10:30:00.000,2015-01-01T10:30:00.000,0.0,V,SH
V4350101151030,V4,35,2015-01-01T10:30:00.000,,0.0,V,SH
V4320101151030,V4,32,2015-01-01T10:30:00.000,,4.4,V,SH
V4400101151030,V4,40,2015-01-01T10:30:00.000,2015-01-01T10:58:00.000,4.8,V,SH
V4030101151030,V4,3,2015-01-01T10:30:00.000,2015-01-01T10:31:00.000,63.0,V,SH
V4350101151100,V4,35,2015-01-01T11:00:00.000,,0.0,V,SH
V4720101151100,V4,72,2015-01-01T11:00:00.000,2015-01-01T11:00:00.000,0.0,V,SH
V4400101151100,V4,40,2015-01-01T11:00:00.000,2015-01-01T11:29:00.000,6.1,V,SH
V4320101151100,V4,32,2015-01-01T11:00:00.000,,5.4,V,SH
V4330101151100,V4,33,2015-01-01T11:00:00.000,,56.0,V,SH
V4440101151100,V4,44,2015-01-01T11:00:00.000,2015-01-01T11:23:00.000,53.0,V,SH
V4030101151100,V4,3,2015-01-01T11:00:00.000,2015-01-01T11:02:00.000,59.0,V,SH
V4420101151100,V4,42,2015-01-01T11:00:00.000,2015-01-01T11:00:00.000,4.7,V,SH
V4320101151130,V4,32,2015-01-01T11:30:00.000,,6.8,V,SH
V4400101151130,V4,40,2015-01-01T11:30:00.000,2015-01-01T11:59:00.000,7.1,V,SH
V4420101151130,V4,42,2015-01-01T11:30:00.000,2015-01-01T11:30:00.000,6.2,V,SH
V4720101151130,V4,72,2015-01-01T11:30:00.000,2015-01-01T11:30:00.000,0.0,V,SH
V4440101151130,V4,44,2015-01-01T11:30:00.000,2015-01-01T11:52:00.000,51.0,V,SH
V4030101151130,V4,3,2015-01-01T11:30:00.000,2015-01-01T11:32:00.000,54.0,V,SH
V4350101151130,V4,35,2015-01-01T11:30:00.000,,0.0,V,SH
V4330101151130,V4,33,2015-01-01T11:30:00.000,,52.0,V,SH
